signal_idx,source_file,col,start,orig_len
0,resto_columnas.csv,lag1_mean_0,0,1024
0,resto_columnas.csv,lag1_mean_0,512,1024
0,resto_columnas.csv,lag1_mean_0,1024,1024
0,resto_columnas.csv,lag1_mean_0,1455,1024
1,resto_columnas.csv,lag1_mean_1,0,1024
1,resto_columnas.csv,lag1_mean_1,512,1024
1,resto_columnas.csv,lag1_mean_1,1024,1024
1,resto_columnas.csv,lag1_mean_1,1455,1024
2,resto_columnas.csv,lag1_mean_2,0,1024
2,resto_columnas.csv,lag1_mean_2,512,1024
2,resto_columnas.csv,lag1_mean_2,1024,1024
2,resto_columnas.csv,lag1_mean_2,1455,1024
3,resto_columnas.csv,lag1_mean_3,0,1024
3,resto_columnas.csv,lag1_mean_3,512,1024
3,resto_columnas.csv,lag1_mean_3,1024,1024
3,resto_columnas.csv,lag1_mean_3,1455,1024
4,resto_columnas.csv,lag1_mean_d_h2h1_0,0,1024
4,resto_columnas.csv,lag1_mean_d_h2h1_0,512,1024
4,resto_columnas.csv,lag1_mean_d_h2h1_0,1024,1024
4,resto_columnas.csv,lag1_mean_d_h2h1_0,1455,1024
5,resto_columnas.csv,lag1_mean_d_h2h1_1,0,1024
5,resto_columnas.csv,lag1_mean_d_h2h1_1,512,1024
5,resto_columnas.csv,lag1_mean_d_h2h1_1,1024,1024
5,resto_columnas.csv,lag1_mean_d_h2h1_1,1455,1024
6,resto_columnas.csv,lag1_mean_d_h2h1_2,0,1024
6,resto_columnas.csv,lag1_mean_d_h2h1_2,512,1024
6,resto_columnas.csv,lag1_mean_d_h2h1_2,1024,1024
6,resto_columnas.csv,lag1_mean_d_h2h1_2,1455,1024
7,resto_columnas.csv,lag1_mean_d_h2h1_3,0,1024
7,resto_columnas.csv,lag1_mean_d_h2h1_3,512,1024
7,resto_columnas.csv,lag1_mean_d_h2h1_3,1024,1024
7,resto_columnas.csv,lag1_mean_d_h2h1_3,1455,1024
8,resto_columnas.csv,lag1_mean_q1_0,0,1024
8,resto_columnas.csv,lag1_mean_q1_0,512,1024
8,resto_columnas.csv,lag1_mean_q1_0,1024,1024
8,resto_columnas.csv,lag1_mean_q1_0,1455,1024
9,resto_columnas.csv,lag1_mean_q1_1,0,1024
9,resto_columnas.csv,lag1_mean_q1_1,512,1024
9,resto_columnas.csv,lag1_mean_q1_1,1024,1024
9,resto_columnas.csv,lag1_mean_q1_1,1455,1024
10,resto_columnas.csv,lag1_mean_q1_2,0,1024
10,resto_columnas.csv,lag1_mean_q1_2,512,1024
10,resto_columnas.csv,lag1_mean_q1_2,1024,1024
10,resto_columnas.csv,lag1_mean_q1_2,1455,1024
11,resto_columnas.csv,lag1_mean_q1_3,0,1024
11,resto_columnas.csv,lag1_mean_q1_3,512,1024
11,resto_columnas.csv,lag1_mean_q1_3,1024,1024
11,resto_columnas.csv,lag1_mean_q1_3,1455,1024
12,resto_columnas.csv,lag1_mean_q2_0,0,1024
12,resto_columnas.csv,lag1_mean_q2_0,512,1024
12,resto_columnas.csv,lag1_mean_q2_0,1024,1024
12,resto_columnas.csv,lag1_mean_q2_0,1455,1024
13,resto_columnas.csv,lag1_mean_q2_1,0,1024
13,resto_columnas.csv,lag1_mean_q2_1,512,1024
13,resto_columnas.csv,lag1_mean_q2_1,1024,1024
13,resto_columnas.csv,lag1_mean_q2_1,1455,1024
14,resto_columnas.csv,lag1_mean_q2_2,0,1024
14,resto_columnas.csv,lag1_mean_q2_2,512,1024
14,resto_columnas.csv,lag1_mean_q2_2,1024,1024
14,resto_columnas.csv,lag1_mean_q2_2,1455,1024
15,resto_columnas.csv,lag1_mean_q2_3,0,1024
15,resto_columnas.csv,lag1_mean_q2_3,512,1024
15,resto_columnas.csv,lag1_mean_q2_3,1024,1024
15,resto_columnas.csv,lag1_mean_q2_3,1455,1024
16,resto_columnas.csv,lag1_mean_d_q1q2_0,0,1024
