number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_lr,params_n_layers,state
0,0.043960681185126305,2025-10-21 13:56:47.701755,2025-10-21 13:56:50.577657,0 days 00:00:02.875902,16,0.4740010578965834,105,0.00024640773364960334,1,COMPLETE
1,0.026965672771135967,2025-10-21 13:56:50.587220,2025-10-21 13:56:52.700705,0 days 00:00:02.113485,32,0.30022419810241097,181,0.007753667285326374,3,COMPLETE
2,0.02956984005868435,2025-10-21 13:56:52.703279,2025-10-21 13:56:53.992243,0 days 00:00:01.288964,32,0.19577587378899813,80,0.0002429154739599727,2,COMPLETE
3,0.03724070514241854,2025-10-21 13:56:53.994339,2025-10-21 13:56:56.999432,0 days 00:00:03.005093,16,0.0483943699250492,192,0.001490850321515186,3,COMPLETE
4,0.03435190704961618,2025-10-21 13:56:57.002202,2025-10-21 13:56:58.901542,0 days 00:00:01.899340,16,0.49860026669115726,153,0.0017112131024806317,1,COMPLETE
5,0.02726008929312229,2025-10-21 13:56:58.904078,2025-10-21 13:56:59.681436,0 days 00:00:00.777358,64,0.347420383379171,115,0.0029144828633177245,3,COMPLETE
6,0.03310586946705977,2025-10-21 13:56:59.683133,2025-10-21 13:57:00.447742,0 days 00:00:00.764609,64,0.35986869255406956,172,0.0002454728202219981,3,COMPLETE
7,0.02729858085513115,2025-10-21 13:57:00.449957,2025-10-21 13:57:01.626906,0 days 00:00:01.176949,32,0.10285061133689755,68,0.004891342573600438,2,COMPLETE
8,0.03231104649603367,2025-10-21 13:57:01.629664,2025-10-21 13:57:03.516054,0 days 00:00:01.886390,16,0.03923338026559309,98,0.001460503869621184,1,COMPLETE
9,0.03206637315452099,2025-10-21 13:57:03.518852,2025-10-21 13:57:04.154767,0 days 00:00:00.635915,64,0.15720320915769892,253,0.00048260125861758826,1,COMPLETE
10,0.02486356596151988,2025-10-21 13:57:04.157978,2025-10-21 13:57:05.489297,0 days 00:00:01.331319,32,0.29823543266430474,229,0.009816074426856915,3,COMPLETE
11,0.024762490143378574,2025-10-21 13:57:05.492044,2025-10-21 13:57:07.742262,0 days 00:00:02.250218,32,0.2949954458426037,227,0.009243348206050285,3,COMPLETE
12,0.025165559103091557,2025-10-21 13:57:07.744600,2025-10-21 13:57:09.209656,0 days 00:00:01.465056,32,0.254307735087876,246,0.00935425046758951,2,COMPLETE
13,0.026999795188506443,2025-10-21 13:57:09.211930,2025-10-21 13:57:10.824520,0 days 00:00:01.612590,32,0.4043710911488908,216,0.004437009694243796,3,COMPLETE
14,0.027299147099256516,2025-10-21 13:57:10.828302,2025-10-21 13:57:12.150825,0 days 00:00:01.322523,32,0.22723065661861608,220,0.0006529401837151569,3,COMPLETE
